2025-06-17 21:04:05 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 2 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 4 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 10 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 35 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 1 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 3 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 17 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\rajum\AppData\Local\Temp\testng-eclipse--1288961621\testng-customsuite.xml

2025-06-17 21:04:06 [main] INFO  org.testng.internal.Utils - [Utils] DynamicGraphHelper.createDynamicGraph() took 11 ms.
2025-06-17 21:04:06 [main] INFO  automationFramework.utils.LoggerUtil - 🔧 Starting browser and loading properties...
2025-06-17 21:04:08 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 137.0.7151.70 (resolved driver for Chrome 137)
2025-06-17 21:04:09 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\rajum\.cache\selenium\chromedriver\win64\137.0.7151.70\chromedriver.exe
2025-06-17 21:04:13 [main] INFO  automationFramework.pages.LoginPage - ✅ Captcha wait time loaded: 10 seconds
2025-06-17 21:04:16 [main] INFO  automationFramework.pages.LoginPage - 🟦 Navigated to URL: https://uatnet.svcbank.com/ReachSVCInet/SVC-web/inet/netbanking
2025-06-17 21:04:17 [main] INFO  automationFramework.pages.LoginPage - ✅ Entered username: TEST001
2025-06-17 21:04:17 [main] INFO  automationFramework.pages.LoginPage - ⏳ Waiting for manual captcha input (10 seconds)
2025-06-17 21:04:27 [main] INFO  automationFramework.pages.LoginPage - ✅ Clicked first Login button
2025-06-17 21:04:28 [main] INFO  automationFramework.pages.LoginPage - ✅ Entered password
2025-06-17 21:04:29 [main] INFO  automationFramework.pages.LoginPage - ✅ Clicked final Login button
2025-06-17 21:04:30 [main] INFO  automationFramework.pages.LoginPage - 🎉 Login successful for user: TEST001
2025-06-17 21:04:30 [main] INFO  automationFramework.utils.LoggerUtil - ✅ Setup complete.
2025-06-17 21:04:30 [main] INFO  a.pages.AccountsPage - Clicking 'Accounts' tab.
2025-06-17 21:04:30 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:04:45 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
