2025-06-11 13:00:38 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\rajum\eclipse-workspace\ToolsQA\SeleniumAutomotionSVCUATIB\testng.xml] otherwise TestNG may fail or not work as expected.
2025-06-11 13:00:39 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\rajum\eclipse-workspace\ToolsQA\SeleniumAutomotionSVCUATIB\testng.xml

2025-06-11 13:00:41 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 137.0.7151.70 (resolved driver for Chrome 137)
2025-06-11 13:00:41 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\rajum\.cache\selenium\chromedriver\win64\137.0.7151.70\chromedriver.exe
2025-06-11 13:00:44 [main] INFO  automationFramework.pages.LoginPage - ✅ [SUCCESS] Config loaded from 'config.properties': captcha.wait.seconds = 10 seconds.
2025-06-11 13:00:48 [main] INFO  automationFramework.pages.LoginPage - 🟦 [STEP] Navigated to URL: https://uatnet.svcbank.com/ReachSVCInet/SVC-web/inet/netbanking
2025-06-11 13:00:48 [main] INFO  automationFramework.pages.LoginPage - ✅ [SUCCESS] Entered username: TEST001
2025-06-11 13:00:48 [main] INFO  automationFramework.pages.LoginPage - ⏳ [WAIT] Waiting for manual captcha input. You have 10 seconds.
2025-06-11 13:00:58 [main] INFO  automationFramework.pages.LoginPage - ✅ [SUCCESS] Clicked first Login button (after captcha).
2025-06-11 13:00:59 [main] INFO  automationFramework.pages.LoginPage - ✅ [SUCCESS] Entered password.
2025-06-11 13:00:59 [main] INFO  automationFramework.pages.LoginPage - ✅ [SUCCESS] Clicked final Login button.
2025-06-11 13:00:59 [main] INFO  automationFramework.pages.LoginPage - 🎉 [DONE] Login Test Completed successfully for user: TEST001.
2025-06-11 13:01:00 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Clicking on the Payment tab.
2025-06-11 13:01:05 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Payment tab clicked.
2025-06-11 13:01:06 [main] INFO  a.pages.PaymentHistoryPage - 🧪=== Starting Positive Test Cases for NETF transaction for Payment to payee ===
2025-06-11 13:01:06 [main] INFO  a.pages.PaymentHistoryPage - 🚀 [START] Initiating payment to payee: DXFCHGV
2025-06-11 13:01:06 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Payee selected: DXFCHGV
2025-06-11 13:01:06 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Entered amount: ₹1
2025-06-11 13:01:06 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Selecting NEFT option
2025-06-11 13:01:06 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 1)
2025-06-11 13:01:07 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
2025-06-11 13:01:08 [main] WARN  a.pages.PaymentHistoryPage - ⚠️ NEFT not selected yet. Retrying...
2025-06-11 13:01:08 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 2)
2025-06-11 13:01:08 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
